Date,0
2022-04-04,[0.09980541]
2022-04-05,[0.09928233]
2022-04-06,[0.09929493]
2022-04-07,[0.09932995]
2022-04-08,[0.09920347]
2022-04-11,[0.09911728]
2022-04-12,[0.09938009]
2022-04-13,[0.09926001]
2022-04-14,[0.09892657]
2022-04-18,[0.0991129]
2022-04-19,[0.09905399]
2022-04-20,[0.09902956]
2022-04-21,[0.09897278]
2022-04-22,[0.09907624]
2022-04-25,[0.09931114]
2022-04-26,[0.09939861]
2022-04-27,[0.09983821]
2022-04-28,[0.09998821]
2022-04-29,[0.10029145]
2022-05-02,[0.10094021]
2022-05-03,[0.10119912]
2022-05-04,[0.10121298]
2022-05-05,[0.10132432]
2022-05-06,[0.10194394]
2022-05-09,[0.10223066]
2022-05-10,[0.10272253]
2022-05-11,[0.10282567]
2022-05-12,[0.10320632]
2022-05-13,[0.10334421]
2022-05-16,[0.10339645]
2022-05-17,[0.10347894]
2022-05-18,[0.10342233]
2022-05-19,[0.10395689]
2022-05-20,[0.10421475]
2022-05-23,[0.10429771]
2022-05-24,[0.10432306]
2022-05-25,[0.1042505]
2022-05-26,[0.10407977]
2022-05-27,[0.10377453]
2022-05-31,[0.10338857]
2022-06-01,[0.10324015]
2022-06-02,[0.10321254]
2022-06-03,[0.10291863]
2022-06-06,[0.10263862]
2022-06-07,[0.10250366]
2022-06-08,[0.10212318]
2022-06-09,[0.10202701]
2022-06-10,[0.10203712]
2022-06-13,[0.10248152]
2022-06-14,[0.1029702]
2022-06-15,[0.10315253]
2022-06-16,[0.10310539]
2022-06-17,[0.10306268]
2022-06-21,[0.10300587]
2022-06-22,[0.10300866]
2022-06-23,[0.10284971]
2022-06-24,[0.10273357]
2022-06-27,[0.10267882]
2022-06-28,[0.10260599]
2022-06-29,[0.10262781]
2022-06-30,[0.10263142]
2022-07-01,[0.10271648]
2022-07-05,[0.10261845]
2022-07-06,[0.10247755]
2022-07-07,[0.10241196]
2022-07-08,[0.10233291]
2022-07-11,[0.10231651]
2022-07-12,[0.10228908]
2022-07-13,[0.10213749]
2022-07-14,[0.10163637]
2022-07-15,[0.10143879]
2022-07-18,[0.10121448]
2022-07-19,[0.10082725]
2022-07-20,[0.10065667]
2022-07-21,[0.10040152]
2022-07-22,[0.10024755]
2022-07-25,[0.10029211]
2022-07-26,[0.1000719]
2022-07-27,[0.10016042]
2022-07-28,[0.10012992]
2022-07-29,[0.10006795]
2022-08-01,[0.09990554]
2022-08-02,[0.09988588]
2022-08-03,[0.09992123]
2022-08-04,[0.09991913]
2022-08-05,[0.09986815]
2022-08-08,[0.09989488]
2022-08-09,[0.09981844]
2022-08-10,[0.09968249]
2022-08-11,[0.09956051]
2022-08-12,[0.09956922]
2022-08-15,[0.09946607]
2022-08-16,[0.09927715]
2022-08-17,[0.09907245]
2022-08-18,[0.09904845]
2022-08-19,[0.09901667]
2022-08-22,[0.09912756]
2022-08-23,[0.09955354]
2022-08-24,[0.09958845]
2022-08-25,[0.0990299]
2022-08-26,[0.09872063]
2022-08-29,[0.0992522]
2022-08-30,[0.09951266]
2022-08-31,[0.09971005]
2022-09-01,[0.09952533]
2022-09-02,[0.09945407]
2022-09-06,[0.09954518]
2022-09-07,[0.09962691]
2022-09-08,[0.0997084]
2022-09-09,[0.0994586]
2022-09-12,[0.09944647]
2022-09-13,[0.09937496]
2022-09-14,[0.10041662]
2022-09-15,[0.10085423]
2022-09-16,[0.10119576]
2022-09-19,[0.10137106]
2022-09-20,[0.10147952]
2022-09-21,[0.10150896]
2022-09-22,[0.10167544]
2022-09-23,[0.10180783]
2022-09-26,[0.10183468]
2022-09-27,[0.1015237]
2022-09-28,[0.10142319]
2022-09-29,[0.10144053]
2022-09-30,[0.10177717]
2022-10-03,[0.10205336]
2022-10-04,[0.10226874]
2022-10-05,[0.10244861]
2022-10-06,[0.10245624]
2022-10-07,[0.10251262]
2022-10-10,[0.10285468]
2022-10-11,[0.10289719]
2022-10-12,[0.10232542]
2022-10-13,[0.10210796]
2022-10-14,[0.10213203]
2022-10-17,[0.10241895]
2022-10-18,[0.10257211]
2022-10-19,[0.10259397]
2022-10-20,[0.10260244]
2022-10-21,[0.10270056]
2022-10-24,[0.10273045]
2022-10-25,[0.1027188]
2022-10-26,[0.10268364]
2022-10-27,[0.1031277]
